match_id,alert_type,user_id
KGsM8ltp,FHG_list,442751368.0
YJHukZfC,FHG_list,442751368.0
vVumWE0c,SHG_list,
vJqDWQvo,SHG_list,
Cpo0YqXc,SHG_list,
Cpo0YqXc,SHG,
ryWqZpZH,SHG,
IX4xuolq,FHG,
QaLlY4lO,FHG,
A1EWbYAs,FHG,
Ey65vbu5,FHG,
A1EWbYAs,FHG_list,442751368.0
IX4xuolq,SHG,
pIZjw49p,FHG,
WAgGq6WG,FHG,
pIZjw49p,SHG,
WAgGq6WG,SHG,
pIZjw49p,SHG,442751368.0
WAgGq6WG,SHG,442751368.0
pIZjw49p,SHG,442751368.0
WAgGq6WG,SHG,442751368.0
pIZjw49p,SHG,442751368.0
pIZjw49p,SHG,442751368.0
pIZjw49p,SHG,442751368.0
j1qkJVhn,FHG_list,
YeHXJ5AQ,FHG_list,
j1qkJVhn,SHG_list,
h6o5Jgla,FHG,
Asd0KZYh,FHG,
6gkK1l1l,FHG,
Isl6ptIE,FHG,
fVsBKELd,FHG,
hAkxCMHd,FHG_list,
bmfsp0PL,FHG_list,
8b1Un2u3,FHG_list,
zZtyb60D,FHG_list,
hOK1ZF9D,FHG_list,
fu9mZ6r3,FHG_list,
MgyUyIne,FHG_list,
CtTOLRuE,FHG,
hAkxCMHd,FHG,
ry02IOvT,FHG,
pnBSnJ9I,FHG,
fJuDvvmq,FHG,
8b1Un2u3,FHG,
zZtyb60D,FHG,
drrXbno7,FHG,
AuTpwbAl,FHG,
xMLSdJOK,FHG,
hOK1ZF9D,FHG,
GhhoptuF,FHG,
OIegrK9R,FHG,
MgyUyIne,FHG,
SrtJIhj9,FHG_list,
YLtFJYz3,FHG_list,
jXRSKoeK,FHG_list,
6qtwbOm7,FHG_list,
S6vEDRMN,FHG_list,
0navknMk,FHG_list,
0lvb9G74,FHG_list,
bkFWowPO,FHG_list,
lGuAE77H,FHG_list,
QBPsdzgc,FHG_list,
fJoG2Uor,FHG_list,
x4lM16lr,FHG_list,
bT5sKFJ1,FHG_list,
8vDUMHZr,FHG_list,
YLtFJYz3,FHG,
0navknMk,FHG,
lGuAE77H,FHG,
6gqHwb2k,FHG,
QBPsdzgc,FHG,
8vDUMHZr,FHG,
6VQ2RcRR,FHG,
CApoKBwt,FHG_list,
AHnUapJf,FHG_list,
hjJsPbmd,FHG_list,
CApoKBwt,FHG,
hjJsPbmd,FHG,
z3tyKwxU,FHG,
KzlgIk8h,FHG_list,
KzlgIk8h,FHG,
OKjYb4Y0,FHG,
hAkxCMHd,SHG_list,
AH8aFPIs,SHG_list,
CApoKBwt,SHG,442751368.0
ry02IOvT,SHG_list,
pnBSnJ9I,SHG_list,
lGuAE77H,SHG_list,
2NLNmafC,SHG_list,
AHnUapJf,SHG_list,
8IeBCoxU,SHG_list,
GfmQ0Q3l,SHG_list,
zZtyb60D,SHG_list,
drrXbno7,SHG_list,
fJoG2Uor,SHG_list,
lx9m7AwR,SHG_list,
tC5u9W8E,SHG_list,
CtqwHALk,SHG_list,
hhW4ZIyH,SHG_list,
0GShoTG7,SHG_list,
x4lM16lr,SHG_list,
bT5sKFJ1,SHG_list,
8vDUMHZr,SHG_list,
CWXgTJdF,SHG_list,
I5SlxIPf,SHG_list,
8nHOca9E,SHG,442751368.0
fu9mZ6r3,SHG,442751368.0
GhhoptuF,SHG_list,
CApoKBwt,SHG,442751368.0
hjJsPbmd,SHG_list,
bmfsp0PL,SHG_list,
2L0YoMf9,SHG_list,
8b1Un2u3,SHG,442751368.0
A9zpvsNo,SHG_list,
8nHOca9E,SHG,442751368.0
fu9mZ6r3,SHG,442751368.0
CApoKBwt,SHG,442751368.0
8b1Un2u3,SHG,442751368.0
8nHOca9E,SHG,442751368.0
fu9mZ6r3,SHG,442751368.0
Uedkq0fL,SHG,442751368.0
CApoKBwt,SHG,442751368.0
8b1Un2u3,SHG,442751368.0
8nHOca9E,SHG,442751368.0
Uedkq0fL,SHG,442751368.0
CApoKBwt,SHG,442751368.0
Uedkq0fL,SHG,442751368.0
CApoKBwt,SHG,442751368.0
Uedkq0fL,SHG,442751368.0
Uedkq0fL,SHG,442751368.0
Uedkq0fL,SHG,442751368.0
YuN43E2Q,FHG,
tdZj1C33,SHG_list,
YuN43E2Q,SHG,442751368.0
879493,SHG,
879079,SHG,
582952,SHG,
879274,SHG,
879319,SHG,
869557,FHG,
869947,FHG,
626754,FHG,
843337,FHG_list,
786358,FHG,
843271,FHG,
879184,FHG,
816346,FHG_list,
880117,FHG,
843337,SHG,
626754,SHG,
874060,SHG,
843271,SHG,
879628,SHG,
854716,SHG,
877492,SHG,
599005,FHG_list,
879265,SHG,
843328,SHG,
843298,SHG,
519249,FHG_list,
